age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
31,Private,193501,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0,United-States,<=50K
32,Private,236980,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,0,Mexico,<=50K
32,Private,196734,HS-grad,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,0,Jamaica,<=50K
31,Private,199602,Some-college,Married-civ-spouse,Adm-clerical,Not-in-family,Black,Male,0,1,0,Jamaica,<=50K
37,Private,206400,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Female,0,0,0,United-States,<=50K
34,Private,215067,Some-college,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,0,United-States,<=50K
31,Private,222595,Some-college,Divorced,Prof-specialty,Husband,White,Male,0,0,2,United-States,>50K
36,Private,157048,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,0,United-States,<=50K
32,Private,249397,Some-college,Married-civ-spouse,Exec-managerial,Not-in-family,Black,Female,0,0,0,United-States,<=50K
30,Private,192160,Some-college,Married-civ-spouse,Other-service,Not-in-family,White,Male,1,0,0,United-States,>50K
34,Private,215779,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,0,0,Jamaica,>50K
28,Private,198492,Some-college,Never-married,Transport-moving,Unmarried,White,Male,0,0,0,United-States,<=50K
34,Private,157878,Some-college,Married-civ-spouse,Transport-moving,Not-in-family,White,Female,0,1,0,United-States,>50K
34,Private,224710,Some-college,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,0,United-States,<=50K
34,Private,189991,Some-college,Never-married,Adm-clerical,Husband,White,Male,0,0,0,United-States,<=50K
35,Local-gov,219855,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,0,United-States,<=50K
35,Self-emp-inc,225435,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,1,0,Jamaica,<=50K
31,Private,171918,Some-college,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,1,0,0,United-States,<=50K
36,Private,182835,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0,United-States,<=50K
