age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
33,Private,159817,11th,Married-civ-spouse,Other-service,Husband,White,Male,0,0,0,Mexico,<=50K
23,Private,97790,HS-grad,Divorced,Protective-serv,Not-in-family,White,Female,1,1,0,Mexico,>50K
29,Self-emp-not-inc,113238,Bachelors,Married-civ-spouse,Other-service,Husband,White,Female,0,0,2,United-States,>50K
26,Self-emp-not-inc,123730,HS-grad,Married-civ-spouse,Tech-support,Husband,Black,Male,1,0,2,United-States,<=50K
35,Self-emp-not-inc,147883,11th,Never-married,Craft-repair,Husband,White,Male,0,1,0,United-States,<=50K
29,Private,155433,Bachelors,Married-civ-spouse,Sales,Husband,White,Female,0,1,2,India,>50K
26,State-gov,168923,Bachelors,Never-married,Exec-managerial,Husband,White,Female,0,1,0,United-States,<=50K
26,Federal-gov,238132,Some-college,Never-married,Tech-support,Husband,White,Female,0,0,0,Vietnam,<=50K
24,Private,122689,Bachelors,Never-married,Sales,Husband,White,Male,0,1,0,United-States,>50K
26,State-gov,105486,11th,Never-married,Tech-support,Not-in-family,White,Female,0,1,1,United-States,<=50K
29,Self-emp-not-inc,117357,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Own-child,White,Female,0,1,0,United-States,<=50K
28,Private,135144,11th,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,1,0,2,United-States,<=50K
27,Self-emp-not-inc,128013,HS-grad,Married-civ-spouse,Other-service,Not-in-family,Black,Female,0,1,0,India,<=50K
23,Private,101222,Bachelors,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,1,1,2,United-States,>50K
24,Federal-gov,203557,Bachelors,Never-married,Other-service,Husband,White,Male,0,1,0,Puerto-Rico,<=50K
31,Self-emp-not-inc,146130,HS-grad,Never-married,Other-service,Husband,Black,Male,0,1,2,India,>50K
27,Self-emp-not-inc,125052,11th,Married-civ-spouse,Adm-clerical,Husband,White,Female,1,1,0,Nicaragua,<=50K
31,Self-emp-not-inc,159812,HS-grad,Married-civ-spouse,Craft-repair,Own-child,White,Male,0,0,2,United-States,<=50K
26,State-gov,192261,Bachelors,Never-married,Other-service,Husband,White,Male,0,0,2,United-States,>50K
24,Local-gov,204364,Some-college,Never-married,Other-service,Husband,Black,Female,0,1,2,United-States,<=50K
21,Private,68993,Bachelors,Divorced,Other-service,Not-in-family,Black,Female,1,1,2,India,<=50K
34,Private,177017,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1,0,0,United-States,>50K
29,Private,120445,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Female,0,1,0,United-States,<=50K
34,Self-emp-not-inc,137181,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,0,United-States,<=50K
31,Self-emp-not-inc,175599,Bachelors,Never-married,Sales,Husband,White,Male,0,1,0,United-States,<=50K
23,Private,110996,11th,Married-civ-spouse,Craft-repair,Not-in-family,Black,Male,0,0,0,United-States,<=50K
20,State-gov,95997,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Female,0,1,0,United-States,<=50K
30,Self-emp-not-inc,177297,Bachelors,Never-married,Tech-support,Husband,White,Female,0,1,0,United-States,<=50K
22,Self-emp-not-inc,164626,HS-grad,Married-civ-spouse,Sales,Husband,White,Female,0,0,0,India,>50K
34,Self-emp-not-inc,171487,HS-grad,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,1,1,0,United-States,<=50K
30,Self-emp-not-inc,141346,11th,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,1,1,2,United-States,>50K
34,Self-emp-not-inc,156553,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,0,1,0,United-States,<=50K
23,Federal-gov,209652,Some-college,Married-civ-spouse,Tech-support,Husband,White,Female,1,1,0,United-States,>50K
28,Private,137712,HS-grad,Married-civ-spouse,Other-service,Own-child,White,Female,1,0,0,United-States,>50K
24,Self-emp-not-inc,102992,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,1,0,United-States,<=50K
24,Federal-gov,143835,HS-grad,Never-married,Other-service,Husband,Black,Female,0,1,2,United-States,>50K
33,Self-emp-not-inc,146421,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,1,0,United-States,>50K
24,Private,121335,HS-grad,Never-married,Prof-specialty,Husband,White,Male,0,1,0,United-States,>50K
26,Private,132489,HS-grad,Never-married,Craft-repair,Husband,White,Male,1,1,0,United-States,>50K
26,Self-emp-not-inc,116819,11th,Never-married,Craft-repair,Own-child,White,Male,1,0,0,United-States,<=50K
29,State-gov,175716,HS-grad,Married-civ-spouse,Craft-repair,Own-child,White,Female,0,1,0,United-States,<=50K
33,Self-emp-inc,145848,HS-grad,Married-civ-spouse,Sales,Own-child,Black,Female,0,1,0,United-States,<=50K
30,Self-emp-not-inc,160237,HS-grad,Never-married,Other-service,Husband,Black,Male,0,0,0,United-States,<=50K
33,Federal-gov,178855,Some-college,Married-civ-spouse,Priv-house-serv,Husband,White,Male,0,1,0,United-States,>50K
33,Self-emp-not-inc,145237,Bachelors,Never-married,Machine-op-inspct,Husband,White,Male,0,1,2,United-States,<=50K
35,Local-gov,156051,Some-college,Married-civ-spouse,Priv-house-serv,Husband,White,Female,0,1,2,United-States,<=50K
33,Federal-gov,164896,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Female,0,1,0,United-States,<=50K
23,Self-emp-not-inc,98376,Bachelors,Never-married,Craft-repair,Own-child,White,Female,0,0,2,United-States,<=50K
25,Private,118352,Assoc-acdm,Never-married,Craft-repair,Husband,White,Male,1,0,0,India,>50K
33,Self-emp-not-inc,164489,Some-college,Never-married,Machine-op-inspct,Husband,Black,Male,0,1,2,El-Salvador,>50K
27,Self-emp-not-inc,112648,Assoc-acdm,Never-married,Sales,Husband,White,Male,0,1,0,India,<=50K
27,Self-emp-not-inc,138217,Assoc-acdm,Married-civ-spouse,Other-service,Husband,White,Male,0,1,0,United-States,<=50K
30,Self-emp-not-inc,129230,Bachelors,Never-married,Craft-repair,Husband,White,Female,0,1,0,United-States,>50K
33,Federal-gov,188887,HS-grad,Never-married,Other-service,Husband,White,Female,0,1,0,United-States,<=50K
29,Private,129200,Assoc-voc,Married-civ-spouse,Craft-repair,Own-child,White,Female,0,1,0,India,>50K
29,Self-emp-inc,200905,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,0,India,<=50K
29,Self-emp-inc,127550,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1,1,0,United-States,>50K
24,Private,104444,Bachelors,Never-married,Machine-op-inspct,Own-child,White,Female,0,1,0,Mexico,>50K
