Timestamp,Syn_Algo,Dataset,Validity Score,Structure Score,Column Shape Quality,Column Pair Trends,Average WD (Continuous Columns),Average JSD (Categorical Columns),Correlation Distance
20250105_164222,init,init,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250105_164222,smote,adult,1.0,1.0,0.8926192122261857,0.8112313172177075,0.0125082671028208,0.1781560099934977,1.497792014952491
20250105_164233,ctgan,adult,1.0,1.0,0.8804277215355678,0.7759769384654452,0.0199390464517767,0.1113838840489698,1.150521952336192
20250105_164245,tabsyn,adult,1.0,1.0,0.9884293104921816,0.9692267226417346,0.0035393939832251,0.0191964393758721,0.3552851401321289
20250105_164256,ctab-gan-plus,adult,1.0,0.4285714285714285,0.9586411177602232,0.8723991176241678,0.0094562893433363,0.0530946424207175,0.6004747151609413
20250105_164356,smote,yeast,1.0,1.0,0.91786723338358,0.9332963156505651,0.0285861040683927,0.0,0.5239340210515195
20250105_164416,ctgan,yeast,1.0,1.0,0.7636592779301653,0.8400051779182247,0.1159943658020659,0.0,1.5873457170622165
20250105_183248,vae-bgm,adult,0.9536554298240416,0.6470588235294118,0.8926760448855268,0.7597884515550336,0.1014974784111064,0.0237929155918119,1.713867258890313
20250105_183334,vae-bgm,yeast,0.9976359338061466,1.0,0.8856805146951013,0.8676559243552162,0.0289223582683274,0.0025815391413839,1.197018068316268
20250106_083037,tabsyn,yeast,1.0,1.0,0.9328794655727712,0.9437586198147502,0.0182735124681645,0.0206593312081786,0.2342425428064331
20250112_101423,ctgan,adult,1.0,1.0,0.8804277215355678,0.7759769384654452,0.0199390464517767,0.1113838840489698,1.150521952336192
20250112_101435,smote,adult,1.0,1.0,0.8926192122261857,0.8112313172177075,0.0125082671028208,0.1781560099934977,1.497792014952491
20250112_101443,tabsyn,adult,1.0,1.0,0.9884293104921816,0.9692267226417346,0.0035393939832251,0.0191964393758721,0.3552851401321289
20250112_101457,ctab-gan-plus,adult,1.0,0.4285714285714285,0.9586411177602232,0.8723991176241678,0.0094562893433363,0.0530946424207175,0.6004747151609413
